"구","동","계약년월","p1","p2"
"성북구","석관동","202412",85500,4081.69727864052
"성북구","석관동","202501",81605.8823529412,4016.17996561865
"성북구","석관동","202502",84992.8571428571,3277.34327137146
"성북구","석관동","202503",78205,3783.82442509389
"성북구","석관동","202504",80323.5294117647,3950.69528520079
"성북구","석관동","202505",78700,3780.59074372891
"성북구","석관동","202506",83304.4117647059,3940.87603119704
"성북구","석관동","202507",91375,3550.76322841898
"성북구","성북동","202408",16000,1413.27623126338
"성북구","성북동","202410",25000,1841.92900200938
"성북구","성북동","202507",23000,2031.58458244111
"성북구","성북동1가","202409",20200,4097.11124769514
"성북구","성북동1가","202412",20000,3992.74047186933
"성북구","성북동1가","202501",21000,4259.37307928703
"성북구","성북동1가","202502",182500,3270.43171327722
"성북구","성북동1가","202503",17300,4207.07442888725
"성북구","안암동1가","202401",70000,3869.45691920875
"성북구","안암동1가","202402",77500,4284.04158912398
"성북구","안암동1가","202404",72000,3980.01283118615
"성북구","안암동1가","202406",72566.6666666667,4011.33700624641
"성북구","안암동1가","202407",75333.3333333333,4164.2726844818
"성북구","안암동1가","202408",74850,4137.55500575393
"성북구","안암동1가","202409",91600,3808.72213765209
"성북구","안암동1가","202411",116500,3345.19603919044
"성북구","안암동1가","202412",90000,3499.54812232158
"성북구","안암동1가","202501",75000,4145.84669915224
"성북구","안암동1가","202502",72500,4007.6518091805
"성북구","안암동1가","202503",75700,4184.54126834432
"성북구","안암동1가","202504",82500,3830.89445471836
"성북구","안암동1가","202505",79175,3688.0804709632
"성북구","안암동1가","202506",84750,3956.30349727047
"성북구","안암동3가","202402",25000,1503.27988338192
"성북구","안암동3가","202403",24750,1741.46940401018
"성북구","안암동3가","202406",43500,1602.83608753908
"성북구","안암동3가","202408",23000,1246.51010018065
"성북구","안암동3가","202409",37833.3333333333,1694.64633781074
"성북구","안암동3가","202410",21500,1387.67478601805
"성북구","안암동3가","202411",21000,1247.73912868075
"성북구","안암동3가","202412",41166.6666666667,1713.34828298709
"성북구","안암동3가","202502",28500,1989.63401734715
"성북구","안암동3가","202503",20000,1378.73407144349
"성북구","안암동3가","202505",24000,1724.73867595819
"성북구","안암동3가","202506",50250,1893.85302661802
"성북구","안암동4가","202403",27000,1453.74449339207
"성북구","안암동4가","202408",29500,1524.18976045092
"성북구","안암동4가","202501",19950,1263.62763915547
"성북구","장위동","202401",85709.0909090909,4071.28154726425
"성북구","장위동","202402",76711.1111111111,3991.11018260699
"성북구","장위동","202403",82440,3646.35091563261
"성북구","장위동","202404",82457.5757575758,3963.50312298458
"성북구","장위동","202405",85329.6296296296,4089.20909902829
"성북구","장위동","202406",96163.7931034483,4259.77433656228
"성북구","장위동","202407",94626.1904761905,4095.89771064584
"성북구","장위동","202408",96659.0909090909,4146.86168436069
"성북구","장위동","202409",90514.7058823529,4275.99124760305
"성북구","장위동","202410",65108.3333333333,3614.41024899348
"성북구","장위동","202411",91444.4444444444,4367.41379910758
"성북구","장위동","202412",85500,3814.0307409957
"성북구","장위동","202501",97050,4265.78919460936
"성북구","장위동","202502",95637.5,4471.55171338574
"성북구","장위동","202503",97841.1764705882,4465.41425142175
"성북구","장위동","202504",98893.4782608696,4346.87585727555
"성북구","장위동","202505",101005.555555556,4391.69826450354
"성북구","장위동","202506",100677.192982456,4490.32543687698
"성북구","장위동","202507",107625,4812.91927690485
"성북구","정릉동","202401",55636.3636363636,2749.4485481084
"성북구","정릉동","202402",59755.5555555556,2913.56433295537
"성북구","정릉동","202403",59034.375,2772.184145036
"성북구","정릉동","202404",57568.3673469388,2719.64733566858
"성북구","정릉동","202405",58262.25,2769.08869650604
"성북구","정릉동","202406",62856.25,2908.0056288525
"성북구","정릉동","202407",64302.4691358025,2898.74296706727
"성북구","정릉동","202408",60365.5737704918,2896.76421352087
"성북구","정릉동","202409",62292.6470588235,2990.3123758475
"성북구","정릉동","202410",59802.7272727273,2689.59903938196
"성북구","정릉동","202411",65329.4117647059,2805.03152624446
"성북구","정릉동","202412",55541.1764705882,2890.37761621453
"성북구","정릉동","202501",61509.0909090909,2869.7082367814
"성북구","정릉동","202502",58675.8620689655,2950.90331273957
"성북구","정릉동","202503",64184.5238095238,3038.64659312564
"성북구","정릉동","202504",63489.7435897436,3115.82003771065
"성북구","정릉동","202505",64683.3333333333,3015.84950613396
"성북구","정릉동","202506",65085.3846153846,2978.29558693493
"성북구","정릉동","202507",69055.5555555556,3310.11610934463
"성북구","종암동","202401",81184.6153846154,3337.61310104023
"성북구","종암동","202402",77218.75,3186.71116849943
"성북구","종암동","202403",70600,3527.2662117212
"성북구","종암동","202404",77425,3534.78495051262
"성북구","종암동","202405",80287.5,3237.94002767086
"성북구","종암동","202406",84153.3333333333,3639.29718283335
"성북구","종암동","202407",86882.3529411765,3708.00912724917
"성북구","종암동","202408",82717.1052631579,3948.46480667134
"성북구","종암동","202409",75689.2857142857,3580.17298397354
"성북구","종암동","202410",85215.3846153846,3625.59706419863
"성북구","종암동","202411",88588.8888888889,3687.81738311782
"성북구","종암동","202412",76742.3076923077,3628.04150963558
"성북구","종암동","202501",85666.6666666667,3733.64222647873
"성북구","종암동","202502",78438.8888888889,3738.92786490124
"성북구","종암동","202503",81108.3333333333,3827.04914048616
"성북구","종암동","202504",81261.9047619048,3732.02515084635
"성북구","종암동","202505",83194.7916666667,3996.90903135475
"성북구","종암동","202506",87644.2307692308,3918.25438177979
"성북구","하월곡동","202401",81392.3076923077,3715.75789345131
"성북구","하월곡동","202402",78813.3333333333,3164.31360971406
"성북구","하월곡동","202403",72308.6956521739,3206.31454959372
"성북구","하월곡동","202404",80442.3076923077,3401.85554625029
"성북구","하월곡동","202405",74192.1052631579,3183.77207116017
"성북구","하월곡동","202406",76206.976744186,3603.20299460311
"성북구","하월곡동","202407",78325,3359.57346547912
"성북구","하월곡동","202408",78300,3339.75268346866
"성북구","하월곡동","202409",70128.9473684211,3114.28510244605
"성북구","하월곡동","202410",77886.5384615385,3332.8921720484
"성북구","하월곡동","202411",78646.6666666667,3663.08114750069
"성북구","하월곡동","202412",70620,3415.03478225758
"성북구","하월곡동","202501",70471.4285714286,3372.45797225228
"성북구","하월곡동","202502",78241.6666666667,3449.61373755225
"성북구","하월곡동","202503",79617.7777777778,3589.92736954108
"성북구","하월곡동","202504",76526.1904761905,3707.38179599919
"성북구","하월곡동","202505",77418,3455.69936756763
"성북구","하월곡동","202506",78863.7254901961,3596.67286090448
"성북구","하월곡동","202507",76342.8571428571,3151.80884335508
"송파구","가락동","202401",142053.333333333,6411.87302420195
"송파구","가락동","202402",148721.875,6607.14593724576
"송파구","가락동","202403",162802.666666667,6953.19527191189
"송파구","가락동","202404",154689.855072464,6557.54706229688
"송파구","가락동","202405",160935.185185185,6757.52944904445
"송파구","가락동","202406",154431.481481481,7001.81712044761
"송파구","가락동","202407",160445.238095238,6956.65658088467
"송파구","가락동","202408",145234.17721519,6456.25369977091
"송파구","가락동","202409",160104.347826087,6430.14412950552
"송파구","가락동","202410",171633.333333333,6633.64078303223
"송파구","가락동","202411",159700,7072.05102053112
"송파구","가락동","202412",155774.418604651,6799.75438433983
"송파구","가락동","202501",146400.684931507,7025.62674277028
"송파구","가락동","202502",172263,7568.71222206271
"송파구","가락동","202503",166826.19047619,7293.52530800085
"송파구","가락동","202504",169436.842105263,7116.20866793461
"송파구","가락동","202505",173495.52238806,7143.74831041894
"송파구","가락동","202506",174179.032258065,7253.64072591768
"송파구","가락동","202507",153650,6207.69833674887
"송파구","거여동","202401",111586.666666667,4626.23762668349
"송파구","거여동","202402",109166.666666667,4699.1797585554
"송파구","거여동","202403",104815.789473684,5030.53618182319
"송파구","거여동","202404",115400,5330.55704779433
"송파구","거여동","202405",106297.368421053,5075.07432222166
"송파구","거여동","202406",103816.951219512,4977.55786430673
"송파구","거여동","202407",107229.824561404,5277.02341628388
"송파구","거여동","202408",109393.548387097,4865.6846376394
"송파구","거여동","202409",132000,5301.44269459148
"송파구","거여동","202410",112006.666666667,5051.58329623332
"송파구","거여동","202411",94562,4770.99739242951
"송파구","거여동","202412",114866.666666667,4762.03840030059
"송파구","거여동","202501",107900,4630.15628835047
"송파구","거여동","202502",113394.871794872,5445.535115915
"송파구","거여동","202503",107775.352112676,4984.98693849741
"송파구","거여동","202504",115130,5696.44941555786
"송파구","거여동","202505",122258.620689655,5565.05674102059
"송파구","거여동","202506",131057.142857143,5685.10130727658
"송파구","거여동","202507",195833.333333333,6439.55302411954
"송파구","마천동","202401",82075,3687.02366169296
"송파구","마천동","202402",90000,3494.52876809036
"송파구","마천동","202403",90666.6666666667,3207.00929002293
"송파구","마천동","202404",96500,3825.14385310405
"송파구","마천동","202405",90900,2809.49704973307
"송파구","마천동","202406",82500,3566.06740621491
"송파구","마천동","202407",85250,3313.16194663301
"송파구","마천동","202408",89277.7777777778,3655.0008727211
"송파구","마천동","202409",79700,4055.07116253618
"송파구","마천동","202410",80000,4265.50401303654
"송파구","마천동","202411",88766.6666666667,3450.09153464872
"송파구","마천동","202412",88750,4114.11510028108
"송파구","마천동","202501",87300,3643.48046035159
"송파구","마천동","202502",79080,4349.78528997036
"송파구","마천동","202503",74928.5714285714,3705.17557502676
"송파구","마천동","202504",84833.3333333333,4334.88636118964
"송파구","마천동","202505",76250,4200.91936501947
"송파구","마천동","202506",77340,3718.8965164213
"송파구","문정동","202401",144630,5268.90996283215
"송파구","문정동","202402",168450,5485.70696516372
"송파구","문정동","202403",141643.47826087,4880.27239795343
"송파구","문정동","202404",144439.393939394,5058.66903792906
"송파구","문정동","202405",163244.545454545,5288.08625840479
"송파구","문정동","202406",156940.476190476,5275.69617620845
"송파구","문정동","202407",143787.096774194,5325.85774433584
"송파구","문정동","202408",145651.111111111,5147.19504938457
"송파구","문정동","202409",146500,5186.23281535267
"송파구","문정동","202410",134851.851851852,5110.87230230298
"송파구","문정동","202411",156640.540540541,5526.30191739469
"송파구","문정동","202412",136152.173913043,5676.45851205274
"송파구","문정동","202501",151806.451612903,5682.45945706725
"송파구","문정동","202502",167873.770491803,5952.41958793869
"송파구","문정동","202503",154966.836734694,5563.67775291678
"송파구","문정동","202504",107184.615384615,4694.65901748283
"송파구","문정동","202505",159552.941176471,5803.89897583204
"송파구","문정동","202506",154854.285714286,6066.73778042621
"송파구","문정동","202507",168666.666666667,4394.29785799226
"송파구","방이동","202401",171650,6040.1346308835
"송파구","방이동","202402",197325,6810.12957940523
"송파구","방이동","202403",163677.777777778,6212.75095545366
"송파구","방이동","202404",161319.230769231,5612.92942470625
"송파구","방이동","202405",175927.777777778,6346.50328514175
"송파구","방이동","202406",189608.108108108,6415.24740886445
"송파구","방이동","202407",181346.153846154,6327.13764193069
"송파구","방이동","202408",211122.580645161,6631.51912113032
"송파구","방이동","202409",153378.571428571,5576.3227644062
"송파구","방이동","202410",198000,6703.53184312361
"송파구","방이동","202411",191248.148148148,6423.14294279453
"송파구","방이동","202412",213590,7179.80627651705
"송파구","방이동","202501",179107.142857143,6307.27464914601
"송파구","방이동","202502",225568.085106383,7501.54553470441
"송파구","방이동","202503",235005.263157895,7498.67543871688
"송파구","방이동","202504",130160,4790.43597430373
"송파구","방이동","202505",225233.333333333,7239.74474919693
"송파구","방이동","202506",219578,7176.96899503057
"송파구","삼전동","202402",69000,4447.265625
"송파구","삼전동","202404",67000,2968.18364881192
"송파구","삼전동","202405",59000,2462.99810246679
"송파구","삼전동","202407",97500,4021.37232845894
"송파구","삼전동","202408",74000,4769.53125
"송파구","삼전동","202409",98000,3943.90243902439
"송파구","삼전동","202501",67500,3026.82805456355
"송파구","삼전동","202502",82250,3673.72517093499
"송파구","삼전동","202503",84860,4050.95439993078
"송파구","삼전동","202505",66000,2755.21821631879
"송파구","석촌동","202401",86250,4644.54823226699
"송파구","석촌동","202402",27700,5774.22350243514
"송파구","석촌동","202403",108125,5907.92166666996
"송파구","석촌동","202405",119000,4626.07442489311
